id,groupagedata,temps,description,observation,scorerule,max_score,itempos,link
2,1,Temps X,Comprendre des mots,a definir,8,15,1,
3,2,Temps X,Comprendre des phrases,a definir,8,14,1,
4,3,Temps X,Comprendre un texte,a definir,8,11,1,
5,4,Temps X,Connaître le nom des lettres,a definir,8,10,1,
6,5,Temps X,Manipuler des phonèmes,a definir,8,15,1,
7,6,Temps X,Manipuler des syllabes,a definir,8,15,1,
8,7,Temps X,Reconnaître des lettres,a definir,8,9,1,
9,8,Temps X,Comparer des nombres,a definir,8,9,1,
10,9,Temps X,Compter des objets,a definir,8,9,1,
11,10,Temps X,Écrire des nombres,a definir,8,9,1,
12,11,Temps X,Lire des nombres,a definir,8,9,1,
13,12,Temps X,Placer un nombre sur une ligne graduée,a definir,8,9,1,
14,13,Temps X,Résoudre les problèmes,a definir,8,9,1,
15,14,Temps X,Résoudre un problème en géométrie,a definir,8,9,1,
16,15,Temps X,Comprendre des phrases lues seul,a definir,8,9,1,
17,16,Temps X,Comprendre des phrases,a definir,8,9,1,
18,17,Temps X,Connaître le nom des lettres,a definir,8,9,1,
19,18,Temps X,Écrire des mots,a definir,8,9,1,
20,19,Temps X,Écrire des syllabes,a definir,8,9,1,
21,20,Temps X,Lire à voix haute des mots,a definir,8,9,1,
22,21,Temps X,Lire à voix haute un texte,a definir,8,9,1,
23,22,Temps X, Manipuler des phonèmes,a definir,8,9,1,
24,23,Temps X,Additionner,a definir,8,9,1,
25,24,Temps X,Comparer des nombres,a definir,8,9,1,
26,25,Temps X,Écrire des nombres,a definir,8,9,1,
27,26,Temps X,Placer un nombre sur une ligne graduée,a definir,8,9,1,
28,27,Temps X,Résoudre des problèmes,a definir,8,9,1,
29,28,Temps X,Soustraire,a definir,8,9,1,
30,29,Temps X,Comprendre des mots,a definir,8,9,1,
31,30,Temps X,Comprendre des phrases,a definir,8,9,1,
32,31,Temps X,Comprendre des phrases lues seul,a definir,8,9,1,
33,32,Temps X,Comprendre un texte lu seul,a definir,8,9,1,
34,33,Temps X,Écrire des mots,a definir,8,9,1,
35,34,Temps X,Écrire des syllabes,a definir,8,9,1,
36,35,Temps X,Lire à voix haute des mots,a definir,8,9,1,
37,36,Temps X,Lire à voix haute un texte,a definir,8,9,1,
38,37,Temps X,Calculer mentalement,a definir,8,9,1,
39,38,Temps X,Additionner,a definir,8,9,1,
40,39,Temps X,Écrire des nombres,a definir,8,9,1,
41,40,Temps X,Lire des nombres,a definir,8,9,1,
42,41,Temps X,Placer un nombre sur une ligne graduée,a definir,8,9,1,
43,42,Temps X,Résoudre des problèmes,a definir,8,9,1,
44,43,Temps X,Résoudre un problème en géométrie,a definir,8,9,1,
45,44,Temps X,Soustraire,a definir,8,9,1,
46,45,Temps X,Comprendre un texte,a definir,8,9,1,
47,46,Temps X,Comprendre un texte lu seul,a definir,8,9,1,
48,47,Temps X,Lire à voix haute un texte,a definir,8,9,1,
49,48,Temps X,Écrire des mots,a definir,8,9,1,
50,49,Temps X,Reconnaître des synonymes,a definir,8,9,1,
51,50,Temps X,Reconnaître des mots de la même famille,a definir,8,9,1,
52,51,Temps X,Repérer le sujet et le verbe,a definir,8,9,1,
53,52,Temps X,Accorder le nom et l’adjectif,a definir,8,9,1,
54,53,Temps X,Accorder le sujet et le verbe,a definir,8,9,1,
55,54,Temps X,Écrire des nombres entiers,a definir,8,9,1,
56,55,Temps X,Placer un nombre sur une ligne graduée,a definir,8,9,1,
57,56,Temps X,Résoudre des problèmes,a definir,8,9,1,
58,57,Temps X,Connaître les tables de multiplication,a definir,8,9,1,
59,58,Temps X,Calculer rapidement,a definir,8,9,1,
60,59,Temps X,Poser et calculer,a definir,8,9,1,
61,60,Temps 1,identifier et nommer une couleur: Bleu,,2,1,1,
62,60,Temps 1,identifier et nommer une couleur: Rouge,,2,1,2, 
63,60,Temps 1,identifier et nommer une couleur: Jaune,,2,1,3,
64,60,Temps 1,identifier et nommer une couleur: Vert,,2,1,4,
65,60,Temps 1,identifier et nommer une couleur: Orange,,2,1,5,
66,60,Temps 1,identifier et nommer une couleur: Rose,,2,1,6,
67,60,Temps 1,identifier et nommer une couleur: Violet,,2,1,7,
68,60,Temps 1,identifier et nommer une couleur: Blanc,,2,1,8,
69,60,Temps 1,identifier et nommer une couleur: Noir,,2,1,9,
70,60,Temps 1,identifier et nommer une couleur: Gris,,2,1,10,
71,60,Temps 1,identifier et nommer une couleur: Marron,,2,1,11,
72,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Bleu,,2,1,12,
73,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Rouge,,2,1,13,
74,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Jaune,,2,1,14,
75,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Vert,,2,1,15,
76,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Orange,,2,1,16,
77,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Rose,,2,1,17,
78,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Violet,,2,1,18,
79,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Blanc,,2,1,19,
80,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Noir,,2,1,20,
81,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Gris,,2,1,21,
82,60,Temps 2,reconnaitre une carte par le nom de sa couleur: Marron,,2,1,22,
83,61,Temps 1,Reconnaissance de son prénom en majuscule d'imprimerie,,4,1,1,
84,61,Temps 1,Reconnaissance prénom en cursive,,4,1,2,
85,61,Temps 1,Main d'écriture,POINT A DEFINIR,7,0,3,
86,61,Temps 2,Choix de l'outils scripteurs,POINT A DEFINIR,7,0,4,
87,61,Temps 2,Sens de l'écriture ,,4,1,5,
88,61,Temps 2,Sens d'écriture des lettres,,4,1,6,
89,61,Temps 2,Geste graphique,,7,1,7,
90,61,Temps 2,Tenue de l'outils scripteurs (photo),POINT A DEFINIR,7,0,8,
91,62,Temps 1,désigner la position d'objets nommés par l'enseignant: Au-dessus,,3,2,1,
92,62,Temps 1,désigner la position d'objets nommés par l'enseignant: En-dessous,,3,2,2,
93,62,Temps 1,désigner la position d'objets nommés par l'enseignant: À droite,,3,2,3,
94,62,Temps 1,désigner la position d'objets nommés par l'enseignant: À gauche,,3,2,4,
95,62,Temps 1,désigner la position d'objets nommés par l'enseignant: Dedans,,3,2,5,
96,62,Temps 1,désigner la position d'objets nommés par l'enseignant: Dehors,,3,2,6,
97,62,Temps 1,désigner la position d'objets nommés par l'enseignant: À l'intérieur,,3,2,7,
98,62,Temps 1,désigner la position d'objets nommés par l'enseignant: À l'extérieur,,3,2,8,
99,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: Au-dessus,,3,2,9,
100,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: En-dessous,,3,2,10,
101,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: À droite,,3,2,11,
102,62,Temps 2,Nommer la position d'objets nommés par l'enseignant: À gauche,,3,2,12,
